header,title,title_url,channel,time
YouTube,Watched vlog number tooth (two),https://www.youtube.com/watch?v=uoVZ0fdojaE,Alex Ernst,2021-01-03T20:13:13.988Z
YouTube,Watched I made a vlog,https://www.youtube.com/watch?v=Ve3y2Ibzvl0,Alex Ernst,2021-01-03T20:11:03.117Z
YouTube,"Watched ""Jan why this team concedes so many goals"" Jan and Joao (assistant) | All or Nothing ep 7 part 6",https://www.youtube.com/watch?v=0Uu3wB95QYQ,What I Watch,2021-01-03T20:06:52.034Z
YouTube,Watched Why David Dobrik Is Single - You Up w/ Nikki Glaser,https://www.youtube.com/watch?v=PfHwBRYZvLs,You Up with Nikki Glaser,2021-01-03T20:04:43.181Z
YouTube,Watched ALEX ERNST BEST MOMENTS [PART 4],https://www.youtube.com/watch?v=ML7sQDuTnvc,REWIND,2021-01-03T19:54:11.898Z
YouTube,Watched crazy girlfriend exposes me to my best friend,https://www.youtube.com/watch?v=hy8a79VkFPk,Ugh More Joe,2021-01-03T19:43:46.907Z
YouTube,Watched My Productivity Business Workflow - Notion Setup!,https://www.youtube.com/watch?v=LOYLv8achzs,Justin Tse,2021-01-03T19:43:45.155Z
YouTube,Watched Fear Setting: The Most Important Exercise I Still Do Today | Tim Ferriss,https://www.youtube.com/watch?v=o7EVMjgsSME,Tim Ferriss,2021-01-03T18:51:38.738Z
YouTube,Watched How many alien civilizations are out there?,https://www.youtube.com/watch?v=JTmxA2MvEqk,Lex Fridman,2021-01-03T18:44:10.586Z
YouTube,"Watched Ana Gomes - ""Estou preparada para falar com o diabo"" - Especial Presidenciais",https://www.youtube.com/watch?v=RG0Khion-9o,MALUCO BELEZA,2021-01-03T18:20:50.709Z
YouTube,Watched LETTING MY BARBER DO WHATEVER HE WANTS TO MY HAIR!!,https://www.youtube.com/watch?v=mUSK9zTdU5c,UGH IT'S JOE,2021-01-03T18:12:53.598Z
YouTube,Watched INSANE HAIRCUT TRANSFORMATION!! (MUST SEE),https://www.youtube.com/watch?v=_ZGMFvbSRCI,UGH IT'S JOE,2021-01-03T18:12:44.705Z
YouTube Music,Watched Slow J - HomeLand (sLo-fi),https://www.youtube.com/watch?v=qm5V2ny0oJw,Slow J,2021-01-03T16:06:23.648Z
YouTube Music,Watched Slow J - Bedrooms&SpaceShips (sLo-fi),https://www.youtube.com/watch?v=OJKlWnBk2q8,Slow J,2021-01-03T16:04:14.265Z
YouTube Music,Watched Slow J - FindSomeWhere (sLo-fi),https://www.youtube.com/watch?v=71zrrBnvp3Y,Slow J,2021-01-03T16:01:15.138Z
YouTube Music,Watched Slow J - Numbers (sLo-fi),https://www.youtube.com/watch?v=cCBxOZO_N14,Slow J,2021-01-03T15:58:53.908Z
YouTube Music,Watched Slow J - TryAndMeltMyFaith (sLo-fi),https://www.youtube.com/watch?v=60bV1PxDk0s,Slow J,2021-01-03T15:54:28.143Z
YouTube Music,Watched Slow J - Uivos (sLo-fi),https://www.youtube.com/watch?v=cab90camu_s,Slow J,2021-01-03T15:48:21.426Z
YouTube Music,Watched Slow J - SunnyMondayAfternoon (sLo-fi),https://www.youtube.com/watch?v=uyjttTCZ1W4,Slow J,2021-01-03T15:45:49.696Z
